Designator,Mid X,Mid Y,Rotation,Layer
C1,70.358,-114.554,90,top
D1,147.32,-111.76,180,top
D2,147.32,-115.57,180,top
D3,147.32,-119.38,180,top
D4,147.32,-123.19,0,top
D5,147.32,-127,180,top
D7,160.528,-125.603,0,top
D8,146.6,-75.425,90,top
J1,16.51,-29.21,90,top
J10,24.84,-127,0,top
J11,48.514,-31.409,0,top
J12,135.86,-92.71,0,top
J13,135.86,-104.14,0,top
J14,135.86,-115.57,0,top
J15,135.86,-127,0,top
J16,135.86,-46.99,0,top
J17,135.86,-58.42,0,top
J18,135.86,-69.85,0,top
J19,135.86,-81.28,0,top
J2,16.51,-46.99,0,top
J20,65.532,-27.686,0,top
J21,98.98,-34.972,0,top
J22,48.514,-33.949,0,top
J23,50.927,-31.409,0,top
J24,48.514,-28.869,0,top
J25,78.74,-109.22,0,top
J26,97.2185,-113.792,0,top
J27,99.7585,-113.792,0,top
J28,109.9185,-113.792,0,top
J29,60.198,-70.485,0,top
J3,16.51,-58.42,0,top
J30,60.198,-73.025,0,top
J31,60.198,-78.105,0,top
J32,60.198,-80.645,0,top
J33,60.198,-85.725,0,top
J34,61.468,-57.531,0,top
J35,61.468,-60.071,0,top
J36,61.468,-62.611,0,top
J37,61.468,-65.151,0,top
J38,61.468,-67.691,0,top
J39,62.738,-85.725,0,top
J4,16.51,-69.85,0,top
J40,62.738,-70.485,0,top
J41,62.738,-73.025,0,top
J42,62.738,-78.105,0,top
J43,118.11,-29.21,90,top
J44,160.02,-104.14,90,top
J45,151.13,-88.9,180,top
J46,134.874,-35.56,0,top
J47,143.51,-93.98,180,top
J48,149.987,-78.359,90,top
J49,81.28,-63.5,0,top
J5,16.51,-81.28,0,top
J50,88.98,-34.972,0,top
J51,157.861,-58.611,180,top
J52,149.763707,-22.814601,270,top
J53,159.825,-70.925,180,top
J6,16.51,-92.71,0,top
J7,16.51,-104.14,0,top
J8,16.51,-115.57,0,top
J9,16.51,-127,0,top
LOGO,35.306,-81.026,0,top
R1,53.848,-33.274,270,top
R10,142.24,-78.74,180,top
R11,67.31,-73.66,180,top
R12,156.718,-125.603,0,top
R13,53.848,-121.158,180,top
R14,53.848,-122.682,0,top
R2,53.848,-29.464,270,top
R3,151.13,-111.76,180,top
R4,151.13,-115.57,180,top
R5,151.13,-119.38,180,top
R6,151.13,-123.19,180,top
R7,151.13,-127,180,top
R8,142.24,-73.66,180,top
R9,142.24,-76.2,180,top
SW1,158.75,-113.03,0,top
SW2,158.75,-120.65,0,top
U1,62.998,-123.044,0,top
